State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
US,United States,2017,March,12 month-ending,Number of Deaths,2769629,99+,0.279243177,*Likely underreported due to incomplete data
US,United States,2017,February,12 month-ending,Number of Deaths,2767374,99+,0.227616506,*Likely underreported due to incomplete data
US,United States,2017,January,12 month-ending,Number of Deaths,2766104,100,0.190448371,*Likely underreported due to incomplete data
US,United States,2016,December,12 month-ending,Number of Deaths,2750011,100,0.156472101,
US,United States,2016,November,12 month-ending,Number of Deaths,2734510,100,0.158456177,
US,United States,2015,October,12 month-ending,Number of Deaths,2729315,100,0.152932146,
US,United States,2015,November,12 month-ending,Number of Deaths,2727809,100,0.152393368,
US,United States,2016,October,12 month-ending,Number of Deaths,2726946,100,0.159372426,
US,United States,2015,September,12 month-ending,Number of Deaths,2723893,100,0.150740136,
US,United States,2016,September,12 month-ending,Number of Deaths,2721519,100,0.157999999,
US,United States,2015,August,12 month-ending,Number of Deaths,2719206,100,0.148719884,
US,United States,2015,December,12 month-ending,Number of Deaths,2718198,100,0.153226513,
US,United States,2016,August,12 month-ending,Number of Deaths,2717029,100,0.157561807,
US,United States,2015,July,12 month-ending,Number of Deaths,2712688,100,0.147934447,
US,United States,2016,July,12 month-ending,Number of Deaths,2711536,100,0.154451204,
US,United States,2016,June,12 month-ending,Number of Deaths,2708829,100,0.151984492,
US,United States,2016,May,12 month-ending,Number of Deaths,2706964,100,0.151054835,
US,United States,2016,April,12 month-ending,Number of Deaths,2706021,100,0.148261968,
US,United States,2015,June,12 month-ending,Number of Deaths,2704994,100,0.147394042,
US,United States,2016,March,12 month-ending,Number of Deaths,2703226,100,0.147490443,
US,United States,2016,February,12 month-ending,Number of Deaths,2701662,100,0.146872555,
US,United States,2016,January,12 month-ending,Number of Deaths,2698649,100,0.150482705,
US,United States,2015,May,12 month-ending,Number of Deaths,2698421,100,0.146196609,
US,United States,2015,April,12 month-ending,Number of Deaths,2691628,100,0.146454116,
US,United States,2015,March,12 month-ending,Number of Deaths,2682744,100,0.14500079,
US,United States,2015,February,12 month-ending,Number of Deaths,2668442,100,0.146002799,
US,United States,2015,January,12 month-ending,Number of Deaths,2653334,100,0.143178356,
AL,Alabama,2017,January,12 month-ending,Number of Deaths,51651,100,0.280730286,*Likely underreported due to incomplete data
AL,Alabama,2017,March,12 month-ending,Number of Deaths,51644,100,0.342731005,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Deaths,51535,100,0.306587756,*Likely underreported due to incomplete data
AL,Alabama,2016,December,12 month-ending,Number of Deaths,51432,100,0.270259761,
AL,Alabama,2016,November,12 month-ending,Number of Deaths,51110,100,0.275875563,
AL,Alabama,2015,November,12 month-ending,Number of Deaths,51093,100,0.293582291,
AL,Alabama,2015,October,12 month-ending,Number of Deaths,51091,100,0.309252119,
AL,Alabama,2015,September,12 month-ending,Number of Deaths,51044,100,0.323250529,
AL,Alabama,2015,August,12 month-ending,Number of Deaths,50930,100,0.331827999,
AL,Alabama,2015,December,12 month-ending,Number of Deaths,50870,100,0.310595636,
AL,Alabama,2016,October,12 month-ending,Number of Deaths,50869,100,0.287011736,
AL,Alabama,2015,July,12 month-ending,Number of Deaths,50841,100,0.330441966,
AL,Alabama,2016,September,12 month-ending,Number of Deaths,50810,100,0.265695729,
AL,Alabama,2016,August,12 month-ending,Number of Deaths,50756,100,0.264008196,
AL,Alabama,2016,July,12 month-ending,Number of Deaths,50683,100,0.278199791,
AL,Alabama,2015,June,12 month-ending,Number of Deaths,50658,100,0.341505784,
AL,Alabama,2016,June,12 month-ending,Number of Deaths,50613,100,0.264754115,
AL,Alabama,2015,April,12 month-ending,Number of Deaths,50565,100,0.316424404,
AL,Alabama,2016,February,12 month-ending,Number of Deaths,50555,100,0.282860251,
